;0
2023-05-01;7515
2023-05-02;8009
2023-05-03;7470
2023-05-04;7232
2023-05-05;8434
2023-05-06;7985
2023-05-07;10864
2023-05-08;11888
2023-05-09;14767
2023-05-10;13167
2023-05-11;9459
2023-05-12;10787
2023-05-13;13658
2023-05-14;11734
2023-05-15;10208
2023-05-16;8144
2023-05-17;7985
2023-05-18;9127
2023-05-19;9779
2023-05-20;8974
2023-05-21;9135
2023-05-22;9367
2023-05-23;7985
2023-05-24;8141
2023-05-25;7985
2023-05-26;8974
2023-05-27;9219
2023-05-28;8896
2023-05-29;10126
2023-05-30;8149
2023-05-31;7859
2023-06-01;9929
2023-06-02;8816
2023-06-03;9920
2023-06-04;11040
2023-06-05;10207
2023-06-06;9235
2023-06-07;8381
2023-06-08;10377
2023-06-09;10751
2023-06-10;10616
2023-06-11;12887
2023-06-12;10462
2023-06-13;10262
2023-06-14;10125
2023-06-15;12623
2023-06-16;10935
2023-06-17;12326
2023-06-18;12326
2023-06-19;13179
2023-06-20;10298
2023-06-21;15030
2023-06-22;15730
2023-06-23;12338
2023-06-24;13607
2023-06-25;13607
2023-06-26;14567
2023-06-27;14833
2023-06-28;14892
2023-06-29;14689
2023-06-30;14433
2023-07-01;15566
2023-07-02;14592
2023-07-03;13448
2023-07-04;13144
2023-07-05;14833
2023-07-06;13827
2023-07-07;14833
2023-07-08;13522
2023-07-09;13522
2023-07-10;14543
2023-07-11;16491
2023-07-12;16934
2023-07-13;14543
2023-07-14;16597
2023-07-15;17231
2023-07-16;17202
2023-07-17;15281
2023-07-18;16167
2023-07-19;17326
2023-07-20;15158
2023-07-21;17091
2023-07-22;16739
2023-07-23;16962
2023-07-24;15640
2023-07-25;16924
2023-07-26;14976
2023-07-27;14890
2023-07-28;16864
2023-07-29;17023
2023-07-30;16683
2023-07-31;15758
2023-08-01;17669
2023-08-02;16305
2023-08-03;16447
2023-08-04;16771
2023-08-05;20026
2023-08-06;15158
2023-08-07;20026
2023-08-08;16915
2023-08-09;16771
2023-08-10;17376
2023-08-11;16774
2023-08-12;13775
2023-08-13;17444
2023-08-14;17430
2023-08-15;16937
2023-08-16;16396
2023-08-17;20026
2023-08-18;17557
2023-08-19;17863
2023-08-20;18378
2023-08-21;20026
2023-08-22;17969
2023-08-23;16722
2023-08-24;20026
2023-08-25;14959
2023-08-26;14961
2023-08-27;18378
2023-08-28;16771
2023-08-29;18061
2023-08-30;16356
2023-08-31;16355
2023-09-01;14744
2023-09-02;14744
2023-09-03;15281
2023-09-04;14685
2023-09-05;14685
2023-09-06;17326
2023-09-07;17230
2023-09-08;12539
2023-09-09;15479
2023-09-10;14743
2023-09-11;17326
2023-09-12;13915
2023-09-13;17326
2023-09-14;14926
2023-09-15;17326
2023-09-16;20026
2023-09-17;17396
2023-09-18;17326
2023-09-19;13406
2023-09-20;17326
2023-09-21;14926
2023-09-22;17326
2023-09-23;17326
2023-09-24;15028
2023-09-25;17326
2023-09-26;14926
2023-09-27;14603
2023-09-28;13126
2023-09-29;14926
2023-09-30;17326
2023-10-01;20026
2023-10-02;17326
2023-10-03;17326
2023-10-04;17326
2023-10-05;14926
2023-10-06;17326
2023-10-07;11513
2023-10-08;20026
2023-10-09;17326
2023-10-10;17326
2023-10-11;17326
2023-10-12;14926
2023-10-13;17326
2023-10-14;17326
2023-10-15;20026
2023-10-16;17326
2023-10-17;17326
2023-10-18;17326
2023-10-19;14926
2023-10-20;17326
2023-10-21;17326
2023-10-22;20026
2023-10-23;17326
2023-10-24;17326
2023-10-25;17326
2023-10-26;14926
2023-10-27;11559
2023-10-28;16336
2023-10-29;20039
2023-10-30;11285
2023-10-31;11333
