;0
2023-05-01;6739
2023-05-02;5567
2023-05-03;3610
2023-05-04;5832
2023-05-05;3730
2023-05-06;7045
2023-05-07;8190
2023-05-08;11204
2023-05-09;11200
2023-05-10;9060
2023-05-11;8786
2023-05-12;7130
2023-05-13;8045
2023-05-14;8190
2023-05-15;8280
2023-05-16;7880
2023-05-17;5380
2023-05-18;7842
2023-05-19;6180
2023-05-20;7287
2023-05-21;6240
2023-05-22;8570
2023-05-23;8200
2023-05-24;5380
2023-05-25;8200
2023-05-26;5380
2023-05-27;7856
2023-05-28;4840
2023-05-29;5440
2023-05-30;8040
2023-05-31;6180
2023-06-01;5889
2023-06-02;5399
2023-06-03;4699
2023-06-04;4240
2023-06-05;6240
2023-06-06;4699
2023-06-07;4600
2023-06-08;5380
2023-06-09;5399
2023-06-10;6199
2023-06-11;5670
2023-06-12;7040
2023-06-13;6660
2023-06-14;5844
2023-06-15;6980
2023-06-16;6999
2023-06-17;6999
2023-06-18;6670
2023-06-19;7040
2023-06-20;8622
2023-06-21;6999
2023-06-22;8980
2023-06-23;8622
2023-06-24;9399
2023-06-25;9040
2023-06-26;9040
2023-06-27;9399
2023-06-28;8980
2023-06-29;12580
2023-06-30;11999
2023-07-01;12296
2023-07-02;11540
2023-07-03;11540
2023-07-04;11685
2023-07-05;11480
2023-07-06;11072
2023-07-07;13499
2023-07-08;13599
2023-07-09;13499
2023-07-10;12740
2023-07-11;13200
2023-07-12;12680
2023-07-13;12194
2023-07-14;14999
2023-07-15;15786
2023-07-16;14715
2023-07-17;11492
2023-07-18;13809
2023-07-19;11999
2023-07-20;12436
2023-07-21;13699
2023-07-22;13499
2023-07-23;13940
2023-07-24;12274
2023-07-25;14150
2023-07-26;12680
2023-07-27;12225
2023-07-28;14999
2023-07-29;14999
2023-07-30;13499
2023-07-31;12791
2023-08-01;12541
2023-08-02;11999
2023-08-03;11638
2023-08-04;14041
2023-08-05;13499
2023-08-06;13940
2023-08-07;10541
2023-08-08;12560
2023-08-09;13880
2023-08-10;11848
2023-08-11;13499
2023-08-12;14041
2023-08-13;14040
2023-08-14;12379
2023-08-15;14150
2023-08-16;12780
2023-08-17;12483
2023-08-18;15170
2023-08-19;14041
2023-08-20;14040
2023-08-21;12273
2023-08-22;13038
2023-08-23;12780
2023-08-24;12273
2023-08-25;14999
2023-08-26;14999
2023-08-27;14040
2023-08-28;12273
2023-08-29;14298
2023-08-30;14298
2023-08-31;12780
2023-09-01;13499
2023-09-02;11999
2023-09-03;10499
2023-09-04;11685
2023-09-05;9399
2023-09-06;10330
2023-09-07;10476
2023-09-08;10499
2023-09-09;10499
2023-09-10;10390
2023-09-11;9685
2023-09-12;9399
2023-09-13;9481
2023-09-14;9685
2023-09-15;9399
2023-09-16;9685
2023-09-17;9011
2023-09-18;9685
2023-09-19;9496
2023-09-20;8952
2023-09-21;10085
2023-09-22;8685
2023-09-23;9399
2023-09-24;8670
2023-09-25;9685
2023-09-26;8674
2023-09-27;9399
2023-09-28;9080
2023-09-29;8685
2023-09-30;9200
2023-10-01;7670
2023-10-02;9685
2023-10-03;8099
2023-10-04;7080
2023-10-05;7644
2023-10-06;7080
2023-10-07;8622
2023-10-08;6670
2023-10-09;8112
2023-10-10;8622
2023-10-11;6540
2023-10-12;9185
2023-10-13;7080
2023-10-14;8075
2023-10-15;6670
2023-10-16;8112
2023-10-17;9185
2023-10-18;5670
2023-10-19;7796
2023-10-20;8080
2023-10-21;8527
2023-10-22;6540
2023-10-23;8112
2023-10-24;8098
2023-10-25;5670
2023-10-26;8917
2023-10-27;7080
2023-10-28;9496
2023-10-29;7140
2023-10-30;11871
2023-10-31;11871
