;0
2023-05-01;3219
2023-05-02;2540
2023-05-03;3140
2023-05-04;3499
2023-05-05;3740
2023-05-06;3999
2023-05-07;5671
2023-05-08;5299
2023-05-09;5540
2023-05-10;8340
2023-05-11;5683
2023-05-12;4144
2023-05-13;5544
2023-05-14;4204
2023-05-15;4744
2023-05-16;3740
2023-05-17;4240
2023-05-18;5740
2023-05-19;3140
2023-05-20;3999
2023-05-21;4391
2023-05-22;4594
2023-05-23;3140
2023-05-24;4240
2023-05-25;5708
2023-05-26;3740
2023-05-27;4594
2023-05-28;5299
2023-05-29;5579
2023-05-30;4240
2023-05-31;5999
2023-06-01;5394
2023-06-02;5777
2023-06-03;7185
2023-06-04;7479
2023-06-05;5185
2023-06-06;5540
2023-06-07;6240
2023-06-08;7394
2023-06-09;8340
2023-06-10;8185
2023-06-11;9790
2023-06-12;7185
2023-06-13;7861
2023-06-14;8099
2023-06-15;8095
2023-06-16;8099
2023-06-17;8099
2023-06-18;9321
2023-06-19;9006
2023-06-20;8434
2023-06-21;9248
2023-06-22;8794
2023-06-23;8999
2023-06-24;10277
2023-06-25;9812
2023-06-26;8460
2023-06-27;9060
2023-06-28;10908
2023-06-29;9860
2023-06-30;10928
2023-07-01;8521
2023-07-02;8521
2023-07-03;8521
2023-07-04;8521
2023-07-05;8521
2023-07-06;8521
2023-07-07;8999
2023-07-08;10294
2023-07-09;10616
2023-07-10;9660
2023-07-11;9860
2023-07-12;10816
2023-07-13;9860
2023-07-14;11094
2023-07-15;10499
2023-07-16;11037
2023-07-17;8460
2023-07-18;8883
2023-07-19;10185
2023-07-20;10908
2023-07-21;10499
2023-07-22;10499
2023-07-23;10908
2023-07-24;10185
2023-07-25;9860
2023-07-26;9542
2023-07-27;10660
2023-07-28;10499
2023-07-29;10294
2023-07-30;10195
2023-07-31;11091
2023-08-01;10499
2023-08-02;9354
2023-08-03;9060
2023-08-04;9507
2023-08-05;9507
2023-08-06;9628
2023-08-07;8999
2023-08-08;9663
2023-08-09;8999
2023-08-10;8460
2023-08-11;9243
2023-08-12;10185
2023-08-13;10499
2023-08-14;9535
2023-08-15;9060
2023-08-16;9673
2023-08-17;9799
2023-08-18;9321
2023-08-19;8999
2023-08-20;10499
2023-08-21;8999
2023-08-22;9551
2023-08-23;10185
2023-08-24;10460
2023-08-25;11194
2023-08-26;9994
2023-08-27;8723
2023-08-28;10499
2023-08-29;9507
2023-08-30;9507
2023-08-31;8999
2023-09-01;8744
2023-09-02;8744
2023-09-03;7604
2023-09-04;8744
2023-09-05;7544
2023-09-06;7860
2023-09-07;7260
2023-09-08;7544
2023-09-09;7544
2023-09-10;7860
2023-09-11;7544
2023-09-12;6660
2023-09-13;8960
2023-09-14;8660
2023-09-15;8744
2023-09-16;7544
2023-09-17;7260
2023-09-18;7118
2023-09-19;6628
2023-09-20;8660
2023-09-21;7009
2023-09-22;7009
2023-09-23;6416
2023-09-24;6604
2023-09-25;6544
2023-09-26;6160
2023-09-27;7865
2023-09-28;5860
2023-09-29;7494
2023-09-30;7107
2023-10-01;6313
2023-10-02;7260
2023-10-03;6160
2023-10-04;7060
2023-10-05;5746
2023-10-06;6113
2023-10-07;6460
2023-10-08;6313
2023-10-09;6160
2023-10-10;6441
2023-10-11;6999
2023-10-12;5746
2023-10-13;7941
2023-10-14;6160
2023-10-15;6313
2023-10-16;6113
2023-10-17;6160
2023-10-18;6464
2023-10-19;5864
2023-10-20;6117
2023-10-21;5864
2023-10-22;6317
2023-10-23;6117
2023-10-24;6186
2023-10-25;6460
2023-10-26;5885
2023-10-27;6117
2023-10-28;7348
2023-10-29;19924
2023-10-30;14324
2023-10-31;14324
