;0
2023-05-01;8549
2023-05-02;8144
2023-05-03;8303
2023-05-04;8769
2023-05-05;11084
2023-05-06;9093
2023-05-07;8934
2023-05-08;7667
2023-05-09;7308
2023-05-10;7884
2023-05-11;7402
2023-05-12;8008
2023-05-13;9180
2023-05-14;10508
2023-05-15;9618
2023-05-16;12881
2023-05-17;8872
2023-05-18;9505
2023-05-19;8974
2023-05-20;10208
2023-05-21;10738
2023-05-22;8974
2023-05-23;8799
2023-05-24;8144
2023-05-25;9908
2023-05-26;10020
2023-05-27;10208
2023-05-28;11331
2023-05-29;11520
2023-05-30;11339
2023-05-31;9908
2023-06-01;12744
2023-06-02;14061
2023-06-03;12744
2023-06-04;14253
2023-06-05;12970
2023-06-06;12970
2023-06-07;12970
2023-06-08;12913
2023-06-09;12983
2023-06-10;17261
2023-06-11;14543
2023-06-12;14543
2023-06-13;15058
2023-06-14;16054
2023-06-15;14230
2023-06-16;14704
2023-06-17;16924
2023-06-18;14417
2023-06-19;14403
2023-06-20;16847
2023-06-21;17116
2023-06-22;14955
2023-06-23;14989
2023-06-24;17137
2023-06-25;15026
2023-06-26;13952
2023-06-27;14728
2023-06-28;13831
2023-06-29;15585
2023-06-30;17137
2023-07-01;18848
2023-07-02;17470
2023-07-03;16066
2023-07-04;16389
2023-07-05;16762
2023-07-06;17137
2023-07-07;17111
2023-07-08;17964
2023-07-09;15180
2023-07-10;16555
2023-07-11;15731
2023-07-12;16061
2023-07-13;15375
2023-07-14;16603
2023-07-15;17393
2023-07-16;17618
2023-07-17;15375
2023-07-18;15375
2023-07-19;15335
2023-07-20;15286
2023-07-21;15163
2023-07-22;16930
2023-07-23;14345
2023-07-24;15585
2023-07-25;14543
2023-07-26;13831
2023-07-27;15041
2023-07-28;16118
2023-07-29;17418
2023-07-30;14315
2023-07-31;16885
2023-08-01;18168
2023-08-02;17231
2023-08-03;16722
2023-08-04;16895
2023-08-05;17429
2023-08-06;14345
2023-08-07;14728
2023-08-08;16444
2023-08-09;17210
2023-08-10;15585
2023-08-11;17089
2023-08-12;17376
2023-08-13;13775
2023-08-14;12561
2023-08-15;15038
2023-08-16;15021
2023-08-17;12983
2023-08-18;15329
2023-08-19;14745
2023-08-20;14345
2023-08-21;13149
2023-08-22;13156
2023-08-23;13154
2023-08-24;13170
2023-08-25;13170
2023-08-26;13170
2023-08-27;17170
2023-08-28;11240
2023-08-29;11147
2023-08-30;17230
2023-08-31;11240
2023-09-01;11240
2023-09-02;12467
2023-09-03;13170
2023-09-04;12811
2023-09-05;11217
2023-09-06;13603
2023-09-07;14379
2023-09-08;12057
2023-09-09;13170
2023-09-10;16894
2023-09-11;17170
2023-09-12;10999
2023-09-13;12575
2023-09-14;12690
2023-09-15;13667
2023-09-16;11012
2023-09-17;11081
2023-09-18;11024
2023-09-19;10755
2023-09-20;11218
2023-09-21;10755
2023-09-22;12175
2023-09-23;11073
2023-09-24;10579
2023-09-25;12682
2023-09-26;10556
2023-09-27;0
2023-09-28;13834
2023-09-29;0
2023-09-30;12654
2023-10-01;15711
2023-10-02;11932
2023-10-03;11287
2023-10-04;15684
2023-10-05;15680
2023-10-06;15680
2023-10-07;15680
2023-10-08;12520
2023-10-09;11046
2023-10-10;10999
2023-10-11;11314
2023-10-12;12034
2023-10-13;13725
2023-10-14;0
2023-10-15;0
2023-10-16;8973
2023-10-17;0
2023-10-18;0
2023-10-19;0
2023-10-20;12395
2023-10-21;15684
2023-10-22;14926
2023-10-23;10087
2023-10-24;11182
2023-10-25;15730
2023-10-26;15730
2023-10-27;12189
2023-10-28;15423
2023-10-29;0
2023-10-30;0
2023-10-31;0
