;0
2023-05-01;5664
2023-05-02;5664
2023-05-03;6177
2023-05-04;5649
2023-05-05;7019
2023-05-06;5649
2023-05-07;5664
2023-05-08;5664
2023-05-09;5664
2023-05-10;5649
2023-05-11;5655
2023-05-12;5549
2023-05-13;5649
2023-05-14;5649
2023-05-15;5664
2023-05-16;5649
2023-05-17;5664
2023-05-18;5664
2023-05-19;5664
2023-05-20;5664
2023-05-21;5664
2023-05-22;5668
2023-05-23;5664
2023-05-24;6554
2023-05-25;5553
2023-05-26;6541
2023-05-27;5657
2023-05-28;5553
2023-05-29;5665
2023-05-30;5553
2023-05-31;5664
2023-06-01;6837
2023-06-02;7171
2023-06-03;5664
2023-06-04;5664
2023-06-05;7171
2023-06-06;7015
2023-06-07;5674
2023-06-08;6289
2023-06-09;6276
2023-06-10;5560
2023-06-11;5676
2023-06-12;6704
2023-06-13;7282
2023-06-14;5722
2023-06-15;6290
2023-06-16;7207
2023-06-17;5700
2023-06-18;5671
2023-06-19;6289
2023-06-20;6819
2023-06-21;5713
2023-06-22;6289
2023-06-23;5730
2023-06-24;5671
2023-06-25;5676
2023-06-26;6282
2023-06-27;7015
2023-06-28;5671
2023-06-29;7015
2023-06-30;5734
2023-07-01;5671
2023-07-02;5671
2023-07-03;7162
2023-07-04;6819
2023-07-05;5671
2023-07-06;7015
2023-07-07;6393
2023-07-08;5670
2023-07-09;5725
2023-07-10;7015
2023-07-11;9515
2023-07-12;5700
2023-07-13;6290
2023-07-14;5730
2023-07-15;5560
2023-07-16;5677
2023-07-17;7015
2023-07-18;7015
2023-07-19;5560
2023-07-20;7015
2023-07-21;5730
2023-07-22;5560
2023-07-23;5725
2023-07-24;9515
2023-07-25;7276
2023-07-26;9515
2023-07-27;7015
2023-07-28;6230
2023-07-29;7175
2023-07-30;5723
2023-07-31;7396
2023-08-01;6153
2023-08-02;6230
2023-08-03;9515
2023-08-04;11515
2023-08-05;7015
2023-08-06;5730
2023-08-07;7612
2023-08-08;9515
2023-08-09;5905
2023-08-10;7015
2023-08-11;5730
2023-08-12;9515
2023-08-13;9515
2023-08-14;6289
2023-08-15;9515
2023-08-16;5926
2023-08-17;6316
2023-08-18;11515
2023-08-19;9515
2023-08-20;9515
2023-08-21;11515
2023-08-22;9515
2023-08-23;9515
2023-08-24;9515
2023-08-25;11515
2023-08-26;7015
2023-08-27;5730
2023-08-28;11515
2023-08-29;7015
2023-08-30;9515
2023-08-31;6166
2023-09-01;5730
2023-09-02;9515
2023-09-03;5730
2023-09-04;11515
2023-09-05;9515
2023-09-06;9515
2023-09-07;9515
2023-09-08;11515
2023-09-09;9515
2023-09-10;9515
2023-09-11;11515
2023-09-12;9515
2023-09-13;9515
2023-09-14;9515
2023-09-15;11515
2023-09-16;7015
2023-09-17;9515
2023-09-18;11515
2023-09-19;9515
2023-09-20;9515
2023-09-21;9515
2023-09-22;11515
2023-09-23;9515
2023-09-24;9515
2023-09-25;11515
2023-09-26;9515
2023-09-27;5618
2023-09-28;9515
2023-09-29;11515
2023-09-30;7015
2023-10-01;9515
2023-10-02;11515
2023-10-03;9515
2023-10-04;9515
2023-10-05;9515
2023-10-06;11515
2023-10-07;9515
2023-10-08;9515
2023-10-09;11515
2023-10-10;9515
2023-10-11;9515
2023-10-12;9515
2023-10-13;11515
2023-10-14;9515
2023-10-15;9515
2023-10-16;11515
2023-10-17;7015
2023-10-18;9515
2023-10-19;9515
2023-10-20;11515
2023-10-21;9515
2023-10-22;9515
2023-10-23;11515
2023-10-24;9515
2023-10-25;9515
2023-10-26;9515
2023-10-27;11515
2023-10-28;9515
2023-10-29;0
2023-10-30;0
2023-10-31;0
