;0
2023-05-01;13986
2023-05-02;8129
2023-05-03;7102
2023-05-04;8130
2023-05-05;12537
2023-05-06;13364
2023-05-07;10986
2023-05-08;7103
2023-05-09;8915
2023-05-10;10986
2023-05-11;12537
2023-05-12;12974
2023-05-13;12537
2023-05-14;14986
2023-05-15;14364
2023-05-16;13379
2023-05-17;12351
2023-05-18;11443
2023-05-19;14332
2023-05-20;18851
2023-05-21;12474
2023-05-22;10193
2023-05-23;10194
2023-05-24;10194
2023-05-25;10986
2023-05-26;11986
2023-05-27;15435
2023-05-28;10193
2023-05-29;10193
2023-05-30;12531
2023-05-31;10194
2023-06-01;10986
2023-06-02;10772
2023-06-03;10986
2023-06-04;10986
2023-06-05;10986
2023-06-06;10986
2023-06-07;10772
2023-06-08;10772
2023-06-09;10986
2023-06-10;11190
2023-06-11;10986
2023-06-12;10986
2023-06-13;10986
2023-06-14;10986
2023-06-15;10986
2023-06-16;10986
2023-06-17;11413
2023-06-18;10986
2023-06-19;10986
2023-06-20;10986
2023-06-21;10772
2023-06-22;10986
2023-06-23;10772
2023-06-24;10986
2023-06-25;10772
2023-06-26;10986
2023-06-27;10986
2023-06-28;10986
2023-06-29;11413
2023-06-30;10986
2023-07-01;12986
2023-07-02;10772
2023-07-03;10986
2023-07-04;10772
2023-07-05;11413
2023-07-06;10986
2023-07-07;10993
2023-07-08;10772
2023-07-09;10772
2023-07-10;10986
2023-07-11;11413
2023-07-12;10986
2023-07-13;10986
2023-07-14;10986
2023-07-15;11413
2023-07-16;11190
2023-07-17;10986
2023-07-18;10986
2023-07-19;10986
2023-07-20;10973
2023-07-21;11649
2023-07-22;10772
2023-07-23;10993
2023-07-24;10986
2023-07-25;10986
2023-07-26;10993
2023-07-27;10986
2023-07-28;11129
2023-07-29;10986
2023-07-30;10986
2023-07-31;10973
2023-08-01;10772
2023-08-02;11185
2023-08-03;11185
2023-08-04;10986
2023-08-05;11399
2023-08-06;10986
2023-08-07;10986
2023-08-08;11000
2023-08-09;11000
2023-08-10;10986
2023-08-11;10772
2023-08-12;11015
2023-08-13;10986
2023-08-14;11000
2023-08-15;10986
2023-08-16;10986
2023-08-17;10973
2023-08-18;10772
2023-08-19;11000
2023-08-20;10986
2023-08-21;11033
2023-08-22;11185
2023-08-23;10772
2023-08-24;10954
2023-08-25;10986
2023-08-26;10986
2023-08-27;10986
2023-08-28;10986
2023-08-29;10954
2023-08-30;10954
2023-08-31;11000
2023-09-01;10954
2023-09-02;10986
2023-09-03;11000
2023-09-04;10986
2023-09-05;11015
2023-09-06;11185
2023-09-07;10986
2023-09-08;10986
2023-09-09;10986
2023-09-10;11000
2023-09-11;11000
2023-09-12;11000
2023-09-13;11000
2023-09-14;11185
2023-09-15;11185
2023-09-16;11399
2023-09-17;11033
2023-09-18;11000
2023-09-19;11000
2023-09-20;11033
2023-09-21;11190
2023-09-22;11033
2023-09-23;11033
2023-09-24;11000
2023-09-25;11000
2023-09-26;11000
2023-09-27;11000
2023-09-28;11000
2023-09-29;11622
2023-09-30;11015
2023-10-01;10772
2023-10-02;11000
2023-10-03;11000
2023-10-04;11000
2023-10-05;11000
2023-10-06;11190
2023-10-07;11185
2023-10-08;11000
2023-10-09;11000
2023-10-10;11185
2023-10-11;11000
2023-10-12;11000
2023-10-13;10954
2023-10-14;11015
2023-10-15;11015
2023-10-16;10986
2023-10-17;10986
2023-10-18;11015
2023-10-19;10986
2023-10-20;10985
2023-10-21;11000
2023-10-22;11000
2023-10-23;12940
2023-10-24;12940
2023-10-25;12940
2023-10-26;12940
2023-10-27;15039
2023-10-28;11408
2023-10-29;0
2023-10-30;0
2023-10-31;0
