;0
2023-05-01;6685
2023-05-02;7970
2023-05-03;7250
2023-05-04;8670
2023-05-05;8288
2023-05-06;10926
2023-05-07;6497
2023-05-08;8685
2023-05-09;10057
2023-05-10;8105
2023-05-11;9170
2023-05-12;8799
2023-05-13;9770
2023-05-14;9412
2023-05-15;8613
2023-05-16;8570
2023-05-17;8570
2023-05-18;8670
2023-05-19;8980
2023-05-20;10404
2023-05-21;9370
2023-05-22;9094
2023-05-23;8570
2023-05-24;8570
2023-05-25;9670
2023-05-26;9370
2023-05-27;9370
2023-05-28;10412
2023-05-29;10470
2023-05-30;11005
2023-05-31;11533
2023-06-01;12242
2023-06-02;12385
2023-06-03;11098
2023-06-04;11999
2023-06-05;11460
2023-06-06;11685
2023-06-07;10499
2023-06-08;10260
2023-06-09;11738
2023-06-10;13499
2023-06-11;12441
2023-06-12;11460
2023-06-13;12905
2023-06-14;10499
2023-06-15;11460
2023-06-16;13284
2023-06-17;13685
2023-06-18;12720
2023-06-19;12642
2023-06-20;12904
2023-06-21;11999
2023-06-22;11460
2023-06-23;12273
2023-06-24;13499
2023-06-25;13499
2023-06-26;12660
2023-06-27;12453
2023-06-28;12720
2023-06-29;12660
2023-06-30;13909
2023-07-01;15582
2023-07-02;15670
2023-07-03;14470
2023-07-04;14541
2023-07-05;13499
2023-07-06;13499
2023-07-07;14004
2023-07-08;14082
2023-07-09;14470
2023-07-10;13880
2023-07-11;12273
2023-07-12;13499
2023-07-13;13870
2023-07-14;12483
2023-07-15;14470
2023-07-16;14470
2023-07-17;13870
2023-07-18;13794
2023-07-19;13870
2023-07-20;13870
2023-07-21;13794
2023-07-22;14470
2023-07-23;13940
2023-07-24;12680
2023-07-25;13870
2023-07-26;13940
2023-07-27;13880
2023-07-28;13794
2023-07-29;14685
2023-07-30;13940
2023-07-31;13880
2023-08-01;14425
2023-08-02;13685
2023-08-03;12680
2023-08-04;13794
2023-08-05;13685
2023-08-06;12740
2023-08-07;13880
2023-08-08;12273
2023-08-09;13499
2023-08-10;11256
2023-08-11;13685
2023-08-12;13499
2023-08-13;13499
2023-08-14;12680
2023-08-15;12483
2023-08-16;11944
2023-08-17;11480
2023-08-18;11685
2023-08-19;13499
2023-08-20;11540
2023-08-21;11480
2023-08-22;11037
2023-08-23;10499
2023-08-24;9080
2023-08-25;10685
2023-08-26;10944
2023-08-27;9040
2023-08-28;7980
2023-08-29;9269
2023-08-30;8099
2023-08-31;7980
2023-09-01;9685
2023-09-02;8685
2023-09-03;8040
2023-09-04;7980
2023-09-05;8515
2023-09-06;8610
2023-09-07;7980
2023-09-08;8977
2023-09-09;8685
2023-09-10;8040
2023-09-11;6980
2023-09-12;7644
2023-09-13;8040
2023-09-14;6980
2023-09-15;8515
2023-09-16;8515
2023-09-17;8040
2023-09-18;6844
2023-09-19;7644
2023-09-20;6240
2023-09-21;5892
2023-09-22;7796
2023-09-23;8685
2023-09-24;6240
2023-09-25;5380
2023-09-26;7796
2023-09-27;5825
2023-09-28;5875
2023-09-29;8112
2023-09-30;8685
2023-10-01;6240
2023-10-02;8620
2023-10-03;7796
2023-10-04;4840
2023-10-05;7670
2023-10-06;5380
2023-10-07;8944
2023-10-08;4840
2023-10-09;7670
2023-10-10;9185
2023-10-11;4840
2023-10-12;7647
2023-10-13;4780
2023-10-14;8659
2023-10-15;4840
2023-10-16;7520
2023-10-17;7773
2023-10-18;4840
2023-10-19;6860
2023-10-20;4504
2023-10-21;8674
2023-10-22;5443
2023-10-23;7670
2023-10-24;7795
2023-10-25;5432
2023-10-26;9185
2023-10-27;6942
2023-10-28;8674
2023-10-29;14183
2023-10-30;12107
2023-10-31;11783
