;0
2023-05-01;5649
2023-05-02;5649
2023-05-03;5654
2023-05-04;5649
2023-05-05;5649
2023-05-06;5649
2023-05-07;5649
2023-05-08;5649
2023-05-09;5649
2023-05-10;5649
2023-05-11;5649
2023-05-12;5650
2023-05-13;5657
2023-05-14;5649
2023-05-15;5553
2023-05-16;5649
2023-05-17;5649
2023-05-18;6676
2023-05-19;5649
2023-05-20;5649
2023-05-21;5649
2023-05-22;5664
2023-05-23;5649
2023-05-24;5539
2023-05-25;5539
2023-05-26;5539
2023-05-27;5657
2023-05-28;5642
2023-05-29;6569
2023-05-30;5642
2023-05-31;5649
2023-06-01;7009
2023-06-02;6270
2023-06-03;7009
2023-06-04;7015
2023-06-05;7282
2023-06-06;7009
2023-06-07;5618
2023-06-08;7255
2023-06-09;6270
2023-06-10;7176
2023-06-11;6290
2023-06-12;7265
2023-06-13;7009
2023-06-14;6230
2023-06-15;7149
2023-06-16;5730
2023-06-17;7015
2023-06-18;7015
2023-06-19;6625
2023-06-20;7149
2023-06-21;5755
2023-06-22;7176
2023-06-23;6290
2023-06-24;7140
2023-06-25;7015
2023-06-26;7015
2023-06-27;9515
2023-06-28;6290
2023-06-29;7176
2023-06-30;5730
2023-07-01;7149
2023-07-02;6289
2023-07-03;7167
2023-07-04;7015
2023-07-05;5730
2023-07-06;9515
2023-07-07;5730
2023-07-08;6998
2023-07-09;6281
2023-07-10;7123
2023-07-11;7282
2023-07-12;5730
2023-07-13;7015
2023-07-14;6289
2023-07-15;7149
2023-07-16;6166
2023-07-17;7149
2023-07-18;7015
2023-07-19;5730
2023-07-20;7020
2023-07-21;9515
2023-07-22;7176
2023-07-23;7015
2023-07-24;7176
2023-07-25;7274
2023-07-26;5730
2023-07-27;7015
2023-07-28;5723
2023-07-29;9015
2023-07-30;7176
2023-07-31;7396
2023-08-01;7149
2023-08-02;11515
2023-08-03;9515
2023-08-04;11515
2023-08-05;11515
2023-08-06;7015
2023-08-07;7396
2023-08-08;9515
2023-08-09;5734
2023-08-10;7149
2023-08-11;5730
2023-08-12;9015
2023-08-13;7015
2023-08-14;7396
2023-08-15;7175
2023-08-16;11515
2023-08-17;9515
2023-08-18;11515
2023-08-19;11515
2023-08-20;7252
2023-08-21;7396
2023-08-22;9515
2023-08-23;11515
2023-08-24;7009
2023-08-25;5730
2023-08-26;8704
2023-08-27;6289
2023-08-28;11515
2023-08-29;7015
2023-08-30;11515
2023-08-31;7015
2023-09-01;11515
2023-09-02;11515
2023-09-03;7015
2023-09-04;11515
2023-09-05;9515
2023-09-06;5730
2023-09-07;9515
2023-09-08;11515
2023-09-09;11515
2023-09-10;9515
2023-09-11;7070
2023-09-12;9515
2023-09-13;11515
2023-09-14;9515
2023-09-15;11515
2023-09-16;11515
2023-09-17;7015
2023-09-18;7396
2023-09-19;9515
2023-09-20;11515
2023-09-21;7149
2023-09-22;11515
2023-09-23;11515
2023-09-24;9515
2023-09-25;11515
2023-09-26;9515
2023-09-27;11515
2023-09-28;9515
2023-09-29;11515
2023-09-30;11515
2023-10-01;9515
2023-10-02;11515
2023-10-03;9515
2023-10-04;11515
2023-10-05;9515
2023-10-06;11515
2023-10-07;11515
2023-10-08;9515
2023-10-09;11515
2023-10-10;7015
2023-10-11;11515
2023-10-12;9515
2023-10-13;5230
2023-10-14;11515
2023-10-15;7015
2023-10-16;7658
2023-10-17;9515
2023-10-18;11515
2023-10-19;9515
2023-10-20;11515
2023-10-21;11515
2023-10-22;9515
2023-10-23;11515
2023-10-24;9515
2023-10-25;11515
2023-10-26;9515
2023-10-27;11515
2023-10-28;11515
2023-10-29;0
2023-10-30;0
2023-10-31;0
