;0
2023-05-01;7034
2023-05-02;5034
2023-05-03;5026
2023-05-04;5033
2023-05-05;5031
2023-05-06;5031
2023-05-07;5031
2023-05-08;9986
2023-05-09;13986
2023-05-10;14536
2023-05-11;9031
2023-05-12;10986
2023-05-13;10986
2023-05-14;14462
2023-05-15;13465
2023-05-16;9165
2023-05-17;9165
2023-05-18;10193
2023-05-19;10193
2023-05-20;10193
2023-05-21;10193
2023-05-22;10193
2023-05-23;10193
2023-05-24;10772
2023-05-25;10986
2023-05-26;10986
2023-05-27;10193
2023-05-28;10772
2023-05-29;10986
2023-05-30;10986
2023-05-31;10986
2023-06-01;10986
2023-06-02;11093
2023-06-03;10973
2023-06-04;10986
2023-06-05;10986
2023-06-06;10986
2023-06-07;10986
2023-06-08;10986
2023-06-09;10772
2023-06-10;10772
2023-06-11;10986
2023-06-12;14003
2023-06-13;10986
2023-06-14;9986
2023-06-15;12986
2023-06-16;10986
2023-06-17;10986
2023-06-18;10986
2023-06-19;10772
2023-06-20;10986
2023-06-21;10986
2023-06-22;11404
2023-06-23;10986
2023-06-24;10986
2023-06-25;10986
2023-06-26;10986
2023-06-27;10986
2023-06-28;10986
2023-06-29;10986
2023-06-30;10986
2023-07-01;10986
2023-07-02;10986
2023-07-03;10985
2023-07-04;10772
2023-07-05;10986
2023-07-06;11033
2023-07-07;10986
2023-07-08;11308
2023-07-09;11033
2023-07-10;10986
2023-07-11;10993
2023-07-12;10986
2023-07-13;10772
2023-07-14;10986
2023-07-15;10986
2023-07-16;10772
2023-07-17;11033
2023-07-18;10986
2023-07-19;10985
2023-07-20;10985
2023-07-21;10993
2023-07-22;10772
2023-07-23;10772
2023-07-24;10772
2023-07-25;11294
2023-07-26;10986
2023-07-27;10986
2023-07-28;10986
2023-07-29;11185
2023-07-30;10986
2023-07-31;10986
2023-08-01;10986
2023-08-02;10986
2023-08-03;10772
2023-08-04;11000
2023-08-05;11294
2023-08-06;11635
2023-08-07;10954
2023-08-08;11434
2023-08-09;10986
2023-08-10;10986
2023-08-11;12185
2023-08-12;11015
2023-08-13;11685
2023-08-14;11015
2023-08-15;10986
2023-08-16;11420
2023-08-17;10986
2023-08-18;10986
2023-08-19;10986
2023-08-20;11033
2023-08-21;10986
2023-08-22;10973
2023-08-23;10772
2023-08-24;10986
2023-08-25;10986
2023-08-26;11015
2023-08-27;11188
2023-08-28;10986
2023-08-29;10993
2023-08-30;11331
2023-08-31;11188
2023-09-01;10986
2023-09-02;10986
2023-09-03;10986
2023-09-04;11185
2023-09-05;11294
2023-09-06;11185
2023-09-07;10986
2023-09-08;10993
2023-09-09;10986
2023-09-10;10986
2023-09-11;10986
2023-09-12;10986
2023-09-13;10986
2023-09-14;10986
2023-09-15;10986
2023-09-16;11294
2023-09-17;10986
2023-09-18;11000
2023-09-19;10986
2023-09-20;11033
2023-09-21;10772
2023-09-22;11000
2023-09-23;11294
2023-09-24;11000
2023-09-25;11000
2023-09-26;11000
2023-09-27;11000
2023-09-28;11000
2023-09-29;11000
2023-09-30;11015
2023-10-01;11000
2023-10-02;11185
2023-10-03;11000
2023-10-04;11000
2023-10-05;11000
2023-10-06;10954
2023-10-07;11000
2023-10-08;11315
2023-10-09;11000
2023-10-10;11000
2023-10-11;11000
2023-10-12;11000
2023-10-13;11000
2023-10-14;11185
2023-10-15;11185
2023-10-16;11000
2023-10-17;11015
2023-10-18;11000
2023-10-19;11185
2023-10-20;11000
2023-10-21;11000
2023-10-22;11000
2023-10-23;10985
2023-10-24;12940
2023-10-25;12940
2023-10-26;12940
2023-10-27;0
2023-10-28;11308
2023-10-29;0
2023-10-30;0
2023-10-31;15847
