;0
2023-05-01;3123
2023-05-02;3499
2023-05-03;4240
2023-05-04;3999
2023-05-05;4744
2023-05-06;5860
2023-05-07;5860
2023-05-08;4391
2023-05-09;4940
2023-05-10;6460
2023-05-11;5394
2023-05-12;4594
2023-05-13;6581
2023-05-14;5299
2023-05-15;5394
2023-05-16;5999
2023-05-17;6770
2023-05-18;6999
2023-05-19;6240
2023-05-20;6999
2023-05-21;6452
2023-05-22;6394
2023-05-23;6999
2023-05-24;6770
2023-05-25;9553
2023-05-26;7240
2023-05-27;8570
2023-05-28;6474
2023-05-29;8674
2023-05-30;7474
2023-05-31;7381
2023-06-01;11024
2023-06-02;7411
2023-06-03;8734
2023-06-04;7185
2023-06-05;10499
2023-06-06;9185
2023-06-07;9260
2023-06-08;10499
2023-06-09;9185
2023-06-10;11232
2023-06-11;11074
2023-06-12;11024
2023-06-13;9185
2023-06-14;10660
2023-06-15;11024
2023-06-16;9500
2023-06-17;11024
2023-06-18;11999
2023-06-19;10660
2023-06-20;10185
2023-06-21;11060
2023-06-22;11024
2023-06-23;10499
2023-06-24;10499
2023-06-25;10823
2023-06-26;10460
2023-06-27;11074
2023-06-28;9660
2023-06-29;11024
2023-06-30;11999
2023-07-01;13087
2023-07-02;11660
2023-07-03;11936
2023-07-04;11094
2023-07-05;9060
2023-07-06;10499
2023-07-07;10499
2023-07-08;11024
2023-07-09;11094
2023-07-10;9860
2023-07-11;10499
2023-07-12;9060
2023-07-13;10499
2023-07-14;11094
2023-07-15;11999
2023-07-16;11008
2023-07-17;10060
2023-07-18;10499
2023-07-19;8460
2023-07-20;10499
2023-07-21;11094
2023-07-22;11098
2023-07-23;11094
2023-07-24;11097
2023-07-25;11094
2023-07-26;9860
2023-07-27;11093
2023-07-28;11088
2023-07-29;10499
2023-07-30;10499
2023-07-31;11024
2023-08-01;10499
2023-08-02;10060
2023-08-03;10499
2023-08-04;10185
2023-08-05;11097
2023-08-06;10499
2023-08-07;10660
2023-08-08;9473
2023-08-09;8999
2023-08-10;11008
2023-08-11;10185
2023-08-12;10499
2023-08-13;10185
2023-08-14;8460
2023-08-15;10185
2023-08-16;8460
2023-08-17;9473
2023-08-18;9260
2023-08-19;11024
2023-08-20;10660
2023-08-21;9260
2023-08-22;9473
2023-08-23;9460
2023-08-24;8794
2023-08-25;8594
2023-08-26;8654
2023-08-27;8594
2023-08-28;8460
2023-08-29;8340
2023-08-30;8340
2023-08-31;8881
2023-09-01;8340
2023-09-02;8485
2023-09-03;8594
2023-09-04;8594
2023-09-05;7394
2023-09-06;7260
2023-09-07;8160
2023-09-08;6394
2023-09-09;7308
2023-09-10;6394
2023-09-11;6269
2023-09-12;6269
2023-09-13;5860
2023-09-14;8160
2023-09-15;6394
2023-09-16;5454
2023-09-17;5394
2023-09-18;5059
2023-09-19;5289
2023-09-20;4594
2023-09-21;6760
2023-09-22;4779
2023-09-23;4563
2023-09-24;4594
2023-09-25;4594
2023-09-26;4594
2023-09-27;4594
2023-09-28;6628
2023-09-29;4594
2023-09-30;4654
2023-10-01;5289
2023-10-02;6394
2023-10-03;6999
2023-10-04;5289
2023-10-05;5394
2023-10-06;5394
2023-10-07;8089
2023-10-08;5387
2023-10-09;5394
2023-10-10;5822
2023-10-11;5387
2023-10-12;0
2023-10-13;5394
2023-10-14;8099
2023-10-15;5397
2023-10-16;5417
2023-10-17;5797
2023-10-18;5860
2023-10-19;5289
2023-10-20;5885
2023-10-21;8099
2023-10-22;0
2023-10-23;5394
2023-10-24;7270
2023-10-25;0
2023-10-26;5159
2023-10-27;5746
2023-10-28;7941
2023-10-29;5494
2023-10-30;14044
2023-10-31;14324
