;0
2023-05-01;15505
2023-05-02;15321
2023-05-03;15321
2023-05-04;25836
2023-05-05;15321
2023-05-06;19517
2023-05-07;15321
2023-05-08;15321
2023-05-09;15022
2023-05-10;15022
2023-05-11;24039
2023-05-12;11185
2023-05-13;18896
2023-05-14;15321
2023-05-15;15321
2023-05-16;15321
2023-05-17;15321
2023-05-18;15321
2023-05-19;21034
2023-05-20;15321
2023-05-21;15302
2023-05-22;15302
2023-05-23;15022
2023-05-24;15331
2023-05-25;15022
2023-05-26;21008
2023-05-27;21515
2023-05-28;15321
2023-05-29;15321
2023-05-30;15321
2023-05-31;21090
2023-06-01;31911
2023-06-02;15022
2023-06-03;15022
2023-06-04;15321
2023-06-05;15321
2023-06-06;15022
2023-06-07;15321
2023-06-08;15331
2023-06-09;15022
2023-06-10;15321
2023-06-11;15321
2023-06-12;15022
2023-06-13;15321
2023-06-14;15022
2023-06-15;15321
2023-06-16;15321
2023-06-17;15321
2023-06-18;15022
2023-06-19;15321
2023-06-20;15321
2023-06-21;14786
2023-06-22;15022
2023-06-23;15218
2023-06-24;15321
2023-06-25;15321
2023-06-26;15022
2023-06-27;15302
2023-06-28;15302
2023-06-29;15321
2023-06-30;15331
2023-07-01;15022
2023-07-02;15022
2023-07-03;15321
2023-07-04;15022
2023-07-05;15022
2023-07-06;15396
2023-07-07;15321
2023-07-08;15022
2023-07-09;15359
2023-07-10;15331
2023-07-11;15321
2023-07-12;15321
2023-07-13;15396
2023-07-14;15321
2023-07-15;15331
2023-07-16;15022
2023-07-17;15321
2023-07-18;15331
2023-07-19;15022
2023-07-20;23540
2023-07-21;21452
2023-07-22;21510
2023-07-23;15022
2023-07-24;15321
2023-07-25;15321
2023-07-26;15558
2023-07-27;20799
2023-07-28;15521
2023-07-29;20710
2023-07-30;15361
2023-07-31;17123
2023-08-01;34493
2023-08-02;15559
2023-08-03;15218
2023-08-04;15218
2023-08-05;15218
2023-08-06;15024
2023-08-07;15202
2023-08-08;15202
2023-08-09;15512
2023-08-10;15218
2023-08-11;15218
2023-08-12;15520
2023-08-13;15323
2023-08-14;15505
2023-08-15;15566
2023-08-16;21523
2023-08-17;14786
2023-08-18;23934
2023-08-19;20710
2023-08-20;14786
2023-08-21;15505
2023-08-22;15202
2023-08-23;16916
2023-08-24;21034
2023-08-25;14786
2023-08-26;19235
2023-08-27;15449
2023-08-28;14786
2023-08-29;15623
2023-08-30;15335
2023-08-31;20649
2023-09-01;21034
2023-09-02;19318
2023-09-03;15380
2023-09-04;15202
2023-09-05;15202
2023-09-06;15235
2023-09-07;15218
2023-09-08;15218
2023-09-09;20513
2023-09-10;17123
2023-09-11;17123
2023-09-12;15235
2023-09-13;14938
2023-09-14;21034
2023-09-15;21047
2023-09-16;14938
2023-09-17;14938
2023-09-18;15378
2023-09-19;15486
2023-09-20;15486
2023-09-21;15502
2023-09-22;21034
2023-09-23;20500
2023-09-24;15216
2023-09-25;16918
2023-09-26;15202
2023-09-27;15216
2023-09-28;15216
2023-09-29;15521
2023-09-30;15216
2023-10-01;15050
2023-10-02;15505
2023-10-03;14938
2023-10-04;15556
2023-10-05;15216
2023-10-06;47037
2023-10-07;11233
2023-10-08;15216
2023-10-09;15216
2023-10-10;17123
2023-10-11;15216
2023-10-12;14938
2023-10-13;33409
2023-10-14;15218
2023-10-15;14938
2023-10-16;14938
2023-10-17;17123
2023-10-18;14938
2023-10-19;14938
2023-10-20;33405
2023-10-21;19247
2023-10-22;17123
2023-10-23;15216
2023-10-24;15505
2023-10-25;15505
2023-10-26;15521
2023-10-27;33368
2023-10-28;14938
2023-10-29;14938
2023-10-30;17123
2023-10-31;14938
