;0
2023-05-01;9028
2023-05-02;9029
2023-05-03;9499
2023-05-04;7199
2023-05-05;6099
2023-05-06;5499
2023-05-07;7199
2023-05-08;9499
2023-05-09;10999
2023-05-10;8499
2023-05-11;6556
2023-05-12;5499
2023-05-13;6561
2023-05-14;8499
2023-05-15;7199
2023-05-16;5499
2023-05-17;4999
2023-05-18;5499
2023-05-19;6099
2023-05-20;4999
2023-05-21;4999
2023-05-22;4999
2023-05-23;4449
2023-05-24;5429
2023-05-25;4449
2023-05-26;5429
2023-05-27;5429
2023-05-28;5429
2023-05-29;5499
2023-05-30;4999
2023-05-31;5429
2023-06-01;7199
2023-06-02;8499
2023-06-03;9012
2023-06-04;9012
2023-06-05;7688
2023-06-06;7679
2023-06-07;7688
2023-06-08;7199
2023-06-09;9499
2023-06-10;10054
2023-06-11;9499
2023-06-12;9499
2023-06-13;10011
2023-06-14;7538
2023-06-15;7199
2023-06-16;9028
2023-06-17;9036
2023-06-18;9012
2023-06-19;7688
2023-06-20;7687
2023-06-21;7474
2023-06-22;7199
2023-06-23;8333
2023-06-24;10171
2023-06-25;9011
2023-06-26;7688
2023-06-27;7328
2023-06-28;7199
2023-06-29;7687
2023-06-30;8499
2023-07-01;8499
2023-07-02;8499
2023-07-03;7688
2023-07-04;7199
2023-07-05;7679
2023-07-06;7204
2023-07-07;8603
2023-07-08;8499
2023-07-09;8499
2023-07-10;7688
2023-07-11;7688
2023-07-12;7199
2023-07-13;7688
2023-07-14;9050
2023-07-15;9011
2023-07-16;9012
2023-07-17;7688
2023-07-18;7688
2023-07-19;7204
2023-07-20;7687
2023-07-21;8489
2023-07-22;9011
2023-07-23;9011
2023-07-24;7538
2023-07-25;7688
2023-07-26;7538
2023-07-27;7190
2023-07-28;8504
2023-07-29;8774
2023-07-30;8499
2023-07-31;7474
2023-08-01;7190
2023-08-02;7721
2023-08-03;7474
2023-08-04;8489
2023-08-05;8499
2023-08-06;8774
2023-08-07;7688
2023-08-08;7328
2023-08-09;7474
2023-08-10;7474
2023-08-11;8774
2023-08-12;8774
2023-08-13;9037
2023-08-14;7199
2023-08-15;7204
2023-08-16;7474
2023-08-17;7474
2023-08-18;8603
2023-08-19;8774
2023-08-20;9011
2023-08-21;7665
2023-08-22;7328
2023-08-23;7199
2023-08-24;7199
2023-08-25;8333
2023-08-26;8603
2023-08-27;8774
2023-08-28;7328
2023-08-29;7199
2023-08-30;7058
2023-08-31;7058
2023-09-01;8499
2023-09-02;10171
2023-09-03;10171
2023-09-04;7328
2023-09-05;8974
2023-09-06;7199
2023-09-07;8799
2023-09-08;10171
2023-09-09;8774
2023-09-10;10374
2023-09-11;7199
2023-09-12;8974
2023-09-13;8974
2023-09-14;8974
2023-09-15;8603
2023-09-16;8603
2023-09-17;8603
2023-09-18;7474
2023-09-19;7655
2023-09-20;7199
2023-09-21;7328
2023-09-22;10374
2023-09-23;8774
2023-09-24;9011
2023-09-25;8974
2023-09-26;8799
2023-09-27;7688
2023-09-28;8974
2023-09-29;10374
2023-09-30;8774
2023-10-01;10374
2023-10-02;7474
2023-10-03;7328
2023-10-04;8799
2023-10-05;7688
2023-10-06;10171
2023-10-07;8499
2023-10-08;10171
2023-10-09;7474
2023-10-10;7465
2023-10-11;7688
2023-10-12;7465
2023-10-13;8763
2023-10-14;8603
2023-10-15;8603
2023-10-16;7328
2023-10-17;8799
2023-10-18;7328
2023-10-19;8799
2023-10-20;10374
2023-10-21;10171
2023-10-22;10374
2023-10-23;8974
2023-10-24;7328
2023-10-25;7204
2023-10-26;8974
2023-10-27;10374
2023-10-28;10374
2023-10-29;0
2023-10-30;0
2023-10-31;0
