;0
2023-05-01;19990
2023-05-02;21242
2023-05-03;16548
2023-05-04;0
2023-05-05;11639
2023-05-06;12561
2023-05-07;0
2023-05-08;17639
2023-05-09;12356
2023-05-10;11195
2023-05-11;10394
2023-05-12;15990
2023-05-13;11686
2023-05-14;0
2023-05-15;19990
2023-05-16;12411
2023-05-17;12716
2023-05-18;11454
2023-05-19;17639
2023-05-20;12329
2023-05-21;0
2023-05-22;14335
2023-05-23;11985
2023-05-24;12296
2023-05-25;12807
2023-05-26;0
2023-05-27;12088
2023-05-28;0
2023-05-29;15990
2023-05-30;13438
2023-05-31;12296
2023-06-01;15970
2023-06-02;15678
2023-06-03;15846
2023-06-04;19639
2023-06-05;15990
2023-06-06;0
2023-06-07;15669
2023-06-08;16000
2023-06-09;15990
2023-06-10;15295
2023-06-11;0
2023-06-12;19966
2023-06-13;0
2023-06-14;15601
2023-06-15;16518
2023-06-16;15678
2023-06-17;14957
2023-06-18;0
2023-06-19;15990
2023-06-20;0
2023-06-21;14500
2023-06-22;15678
2023-06-23;14583
2023-06-24;13279
2023-06-25;0
2023-06-26;19990
2023-06-27;0
2023-06-28;13410
2023-06-29;15990
2023-06-30;15029
2023-07-01;14156
2023-07-02;15435
2023-07-03;16000
2023-07-04;0
2023-07-05;13888
2023-07-06;15970
2023-07-07;15154
2023-07-08;14215
2023-07-09;0
2023-07-10;15990
2023-07-11;0
2023-07-12;13870
2023-07-13;16175
2023-07-14;15131
2023-07-15;14424
2023-07-16;0
2023-07-17;15990
2023-07-18;0
2023-07-19;16175
2023-07-20;16175
2023-07-21;16176
2023-07-22;13845
2023-07-23;15382
2023-07-24;15990
2023-07-25;0
2023-07-26;12821
2023-07-27;16175
2023-07-28;15029
2023-07-29;17990
2023-07-30;0
2023-07-31;16000
2023-08-01;0
2023-08-02;13887
2023-08-03;15990
2023-08-04;14369
2023-08-05;13837
2023-08-06;0
2023-08-07;15990
2023-08-08;0
2023-08-09;12973
2023-08-10;15990
2023-08-11;15990
2023-08-12;13062
2023-08-13;0
2023-08-14;15990
2023-08-15;0
2023-08-16;12742
2023-08-17;15990
2023-08-18;16175
2023-08-19;12780
2023-08-20;0
2023-08-21;15990
2023-08-22;0
2023-08-23;12750
2023-08-24;15990
2023-08-25;15678
2023-08-26;12934
2023-08-27;0
2023-08-28;15943
2023-08-29;0
2023-08-30;12742
2023-08-31;16175
2023-09-01;15990
2023-09-02;15990
2023-09-03;0
2023-09-04;16000
2023-09-05;0
2023-09-06;15678
2023-09-07;15990
2023-09-08;15990
2023-09-09;10217
2023-09-10;0
2023-09-11;15990
2023-09-12;0
2023-09-13;10228
2023-09-14;15990
2023-09-15;16175
2023-09-16;15990
2023-09-17;0
2023-09-18;15990
2023-09-19;0
2023-09-20;15859
2023-09-21;15990
2023-09-22;15990
2023-09-23;15990
2023-09-24;0
2023-09-25;15990
2023-09-26;0
2023-09-27;15970
2023-09-28;15990
2023-09-29;15990
2023-09-30;16175
2023-10-01;0
2023-10-02;14055
2023-10-03;0
2023-10-04;14520
2023-10-05;0
2023-10-06;14335
2023-10-07;14055
2023-10-08;0
2023-10-09;14055
2023-10-10;0
2023-10-11;14335
2023-10-12;0
2023-10-13;14335
2023-10-14;14335
2023-10-15;0
2023-10-16;14335
2023-10-17;0
2023-10-18;14335
2023-10-19;0
2023-10-20;14520
2023-10-21;14335
2023-10-22;0
2023-10-23;14520
2023-10-24;0
2023-10-25;14335
2023-10-26;0
2023-10-27;14502
2023-10-28;14502
2023-10-29;0
2023-10-30;14237
2023-10-31;0
