;0
2023-05-01;7549
2023-05-02;5289
2023-05-03;6099
2023-05-04;4999
2023-05-05;5328
2023-05-06;5327
2023-05-07;5499
2023-05-08;7550
2023-05-09;11409
2023-05-10;9499
2023-05-11;7523
2023-05-12;5440
2023-05-13;5440
2023-05-14;6800
2023-05-15;7523
2023-05-16;5328
2023-05-17;4999
2023-05-18;4186
2023-05-19;5327
2023-05-20;4999
2023-05-21;6800
2023-05-22;5499
2023-05-23;4940
2023-05-24;4999
2023-05-25;4881
2023-05-26;4399
2023-05-27;4749
2023-05-28;6099
2023-05-29;4750
2023-05-30;4749
2023-05-31;5518
2023-06-01;4749
2023-06-02;5307
2023-06-03;5327
2023-06-04;5541
2023-06-05;4441
2023-06-06;5301
2023-06-07;4750
2023-06-08;4999
2023-06-09;6296
2023-06-10;6099
2023-06-11;7841
2023-06-12;8341
2023-06-13;6296
2023-06-14;6393
2023-06-15;5832
2023-06-16;5832
2023-06-17;5832
2023-06-18;7841
2023-06-19;6099
2023-06-20;5499
2023-06-21;5499
2023-06-22;5499
2023-06-23;5301
2023-06-24;7140
2023-06-25;7199
2023-06-26;7549
2023-06-27;6099
2023-06-28;6099
2023-06-29;6581
2023-06-30;7140
2023-07-01;8386
2023-07-02;8386
2023-07-03;7941
2023-07-04;7140
2023-07-05;7881
2023-07-06;7140
2023-07-07;6296
2023-07-08;8499
2023-07-09;8386
2023-07-10;8345
2023-07-11;8361
2023-07-12;8386
2023-07-13;8319
2023-07-14;8362
2023-07-15;9499
2023-07-16;9141
2023-07-17;8341
2023-07-18;8327
2023-07-19;8386
2023-07-20;7881
2023-07-21;8295
2023-07-22;8499
2023-07-23;9141
2023-07-24;8345
2023-07-25;8361
2023-07-26;8499
2023-07-27;7984
2023-07-28;8295
2023-07-29;8499
2023-07-30;9786
2023-07-31;8340
2023-08-01;7140
2023-08-02;7881
2023-08-03;7984
2023-08-04;8295
2023-08-05;8693
2023-08-06;8862
2023-08-07;7941
2023-08-08;6295
2023-08-09;7881
2023-08-10;8054
2023-08-11;8361
2023-08-12;8499
2023-08-13;9499
2023-08-14;8345
2023-08-15;8386
2023-08-16;8499
2023-08-17;8054
2023-08-18;8295
2023-08-19;8654
2023-08-20;9499
2023-08-21;8340
2023-08-22;8440
2023-08-23;8222
2023-08-24;8485
2023-08-25;8361
2023-08-26;8499
2023-08-27;9499
2023-08-28;8345
2023-08-29;8361
2023-08-30;9499
2023-08-31;7984
2023-09-01;6296
2023-09-02;6438
2023-09-03;5832
2023-09-04;5833
2023-09-05;5832
2023-09-06;5499
2023-09-07;5941
2023-09-08;5300
2023-09-09;5832
2023-09-10;5499
2023-09-11;5832
2023-09-12;5301
2023-09-13;5832
2023-09-14;5499
2023-09-15;5297
2023-09-16;5499
2023-09-17;5499
2023-09-18;5499
2023-09-19;5301
2023-09-20;5499
2023-09-21;5392
2023-09-22;5294
2023-09-23;5502
2023-09-24;5843
2023-09-25;5832
2023-09-26;5192
2023-09-27;5499
2023-09-28;5718
2023-09-29;5298
2023-09-30;5499
2023-10-01;5499
2023-10-02;5541
2023-10-03;5299
2023-10-04;5481
2023-10-05;5039
2023-10-06;5065
2023-10-07;5039
2023-10-08;4233
2023-10-09;5726
2023-10-10;5298
2023-10-11;5374
2023-10-12;4315
2023-10-13;4794
2023-10-14;4317
2023-10-15;4317
2023-10-16;5499
2023-10-17;5146
2023-10-18;5666
2023-10-19;4317
2023-10-20;5065
2023-10-21;4200
2023-10-22;4317
2023-10-23;5206
2023-10-24;5146
2023-10-25;5666
2023-10-26;4317
2023-10-27;4800
2023-10-28;5666
2023-10-29;4500
2023-10-30;4577
2023-10-31;4591
