;0
2023-05-01;15321
2023-05-02;11185
2023-05-03;19169
2023-05-04;15321
2023-05-05;20379
2023-05-06;15321
2023-05-07;15321
2023-05-08;15321
2023-05-09;15321
2023-05-10;18897
2023-05-11;15321
2023-05-12;21090
2023-05-13;15321
2023-05-14;15321
2023-05-15;15321
2023-05-16;15321
2023-05-17;14084
2023-05-18;14084
2023-05-19;14084
2023-05-20;15321
2023-05-21;15321
2023-05-22;14084
2023-05-23;14084
2023-05-24;14084
2023-05-25;13809
2023-05-26;14084
2023-05-27;14084
2023-05-28;15022
2023-05-29;14084
2023-05-30;14084
2023-05-31;14084
2023-06-01;14084
2023-06-02;14084
2023-06-03;14084
2023-06-04;14084
2023-06-05;14084
2023-06-06;14084
2023-06-07;14084
2023-06-08;14084
2023-06-09;14084
2023-06-10;11185
2023-06-11;14084
2023-06-12;15321
2023-06-13;15321
2023-06-14;15321
2023-06-15;14084
2023-06-16;14084
2023-06-17;14084
2023-06-18;14084
2023-06-19;15302
2023-06-20;15321
2023-06-21;15022
2023-06-22;11185
2023-06-23;14084
2023-06-24;14067
2023-06-25;14145
2023-06-26;15321
2023-06-27;14084
2023-06-28;15321
2023-06-29;15321
2023-06-30;15321
2023-07-01;15387
2023-07-02;15321
2023-07-03;15022
2023-07-04;15321
2023-07-05;15022
2023-07-06;15302
2023-07-07;15302
2023-07-08;15321
2023-07-09;14786
2023-07-10;15505
2023-07-11;15409
2023-07-12;15387
2023-07-13;15321
2023-07-14;15302
2023-07-15;15321
2023-07-16;15392
2023-07-17;15331
2023-07-18;15396
2023-07-19;15321
2023-07-20;15572
2023-07-21;21607
2023-07-22;15321
2023-07-23;15380
2023-07-24;15022
2023-07-25;15409
2023-07-26;21516
2023-07-27;15022
2023-07-28;15218
2023-07-29;15024
2023-07-30;15202
2023-07-31;15202
2023-08-01;15024
2023-08-02;15521
2023-08-03;21447
2023-08-04;21523
2023-08-05;15348
2023-08-06;15566
2023-08-07;15505
2023-08-08;15323
2023-08-09;15521
2023-08-10;21510
2023-08-11;21510
2023-08-12;15353
2023-08-13;15202
2023-08-14;15502
2023-08-15;15409
2023-08-16;21515
2023-08-17;15521
2023-08-18;15572
2023-08-19;15613
2023-08-20;14786
2023-08-21;15623
2023-08-22;15546
2023-08-23;15218
2023-08-24;15218
2023-08-25;15218
2023-08-26;15024
2023-08-27;21095
2023-08-28;21095
2023-08-29;15024
2023-08-30;15521
2023-08-31;15218
2023-09-01;15218
2023-09-02;15235
2023-09-03;15202
2023-09-04;15050
2023-09-05;15574
2023-09-06;21515
2023-09-07;22200
2023-09-08;24054
2023-09-09;17123
2023-09-10;15235
2023-09-11;15335
2023-09-12;15328
2023-09-13;15235
2023-09-14;15235
2023-09-15;15235
2023-09-16;15235
2023-09-17;15235
2023-09-18;15235
2023-09-19;15353
2023-09-20;15235
2023-09-21;13760
2023-09-22;15235
2023-09-23;15235
2023-09-24;13760
2023-09-25;15343
2023-09-26;15235
2023-09-27;14084
2023-09-28;15235
2023-09-29;15235
2023-09-30;13760
2023-10-01;15235
2023-10-02;15235
2023-10-03;15235
2023-10-04;15235
2023-10-05;33409
2023-10-06;13760
2023-10-07;15235
2023-10-08;15235
2023-10-09;15235
2023-10-10;15235
2023-10-11;15235
2023-10-12;33409
2023-10-13;15235
2023-10-14;15235
2023-10-15;15235
2023-10-16;14084
2023-10-17;15235
2023-10-18;15235
2023-10-19;33409
2023-10-20;15235
2023-10-21;15235
2023-10-22;15235
2023-10-23;15235
2023-10-24;15235
2023-10-25;15235
2023-10-26;33409
2023-10-27;15235
2023-10-28;14084
2023-10-29;15235
2023-10-30;15235
2023-10-31;15235
