;0
2023-05-01;6099
2023-05-02;7673
2023-05-03;7199
2023-05-04;4999
2023-05-05;4999
2023-05-06;5429
2023-05-07;4858
2023-05-08;3849
2023-05-09;3849
2023-05-10;3849
2023-05-11;4236
2023-05-12;3849
2023-05-13;5429
2023-05-14;4857
2023-05-15;4999
2023-05-16;4999
2023-05-17;5429
2023-05-18;5429
2023-05-19;4999
2023-05-20;5499
2023-05-21;4857
2023-05-22;4449
2023-05-23;4999
2023-05-24;5429
2023-05-25;5499
2023-05-26;5947
2023-05-27;6556
2023-05-28;6099
2023-05-29;6556
2023-05-30;6556
2023-05-31;6099
2023-06-01;7199
2023-06-02;8941
2023-06-03;9018
2023-06-04;8499
2023-06-05;7673
2023-06-06;7492
2023-06-07;7673
2023-06-08;7199
2023-06-09;9499
2023-06-10;12973
2023-06-11;9973
2023-06-12;9499
2023-06-13;9941
2023-06-14;7673
2023-06-15;7673
2023-06-16;8499
2023-06-17;8973
2023-06-18;8499
2023-06-19;7673
2023-06-20;7683
2023-06-21;7641
2023-06-22;7680
2023-06-23;8979
2023-06-24;8941
2023-06-25;8941
2023-06-26;7199
2023-06-27;7199
2023-06-28;7199
2023-06-29;7673
2023-06-30;8973
2023-07-01;8333
2023-07-02;8962
2023-07-03;7523
2023-07-04;7679
2023-07-05;7682
2023-07-06;7199
2023-07-07;9020
2023-07-08;8504
2023-07-09;8499
2023-07-10;7664
2023-07-11;7673
2023-07-12;7673
2023-07-13;7687
2023-07-14;8973
2023-07-15;8504
2023-07-16;8964
2023-07-17;7058
2023-07-18;7199
2023-07-19;7646
2023-07-20;7679
2023-07-21;8941
2023-07-22;8499
2023-07-23;8973
2023-07-24;7677
2023-07-25;7058
2023-07-26;7199
2023-07-27;7199
2023-07-28;8499
2023-07-29;8499
2023-07-30;8964
2023-07-31;7199
2023-08-01;7673
2023-08-02;7673
2023-08-03;7641
2023-08-04;8489
2023-08-05;8941
2023-08-06;8947
2023-08-07;7204
2023-08-08;7474
2023-08-09;7682
2023-08-10;7641
2023-08-11;8504
2023-08-12;8499
2023-08-13;8504
2023-08-14;7199
2023-08-15;7474
2023-08-16;7230
2023-08-17;7199
2023-08-18;8499
2023-08-19;8774
2023-08-20;8774
2023-08-21;7474
2023-08-22;7474
2023-08-23;7474
2023-08-24;7199
2023-08-25;8499
2023-08-26;8964
2023-08-27;8774
2023-08-28;7697
2023-08-29;7583
2023-08-30;7583
2023-08-31;7474
2023-09-01;8774
2023-09-02;8843
2023-09-03;8499
2023-09-04;7641
2023-09-05;7641
2023-09-06;7474
2023-09-07;7664
2023-09-08;8973
2023-09-09;8499
2023-09-10;8973
2023-09-11;7697
2023-09-12;7474
2023-09-13;7474
2023-09-14;7474
2023-09-15;8774
2023-09-16;8774
2023-09-17;8499
2023-09-18;7474
2023-09-19;7474
2023-09-20;7474
2023-09-21;7474
2023-09-22;9017
2023-09-23;8774
2023-09-24;8774
2023-09-25;7474
2023-09-26;7583
2023-09-27;7474
2023-09-28;7474
2023-09-29;8774
2023-09-30;8774
2023-10-01;8774
2023-10-02;7199
2023-10-03;7199
2023-10-04;7199
2023-10-05;7609
2023-10-06;8499
2023-10-07;8499
2023-10-08;8499
2023-10-09;7474
2023-10-10;7474
2023-10-11;7474
2023-10-12;7474
2023-10-13;8774
2023-10-14;8774
2023-10-15;8774
2023-10-16;7474
2023-10-17;7474
2023-10-18;7474
2023-10-19;7474
2023-10-20;8774
2023-10-21;8489
2023-10-22;8774
2023-10-23;7474
2023-10-24;7199
2023-10-25;7474
2023-10-26;7230
2023-10-27;10374
2023-10-28;10374
2023-10-29;0
2023-10-30;0
2023-10-31;0
