;0
2023-05-01;23792
2023-05-02;13113
2023-05-03;12545
2023-05-04;12732
2023-05-05;15268
2023-05-06;11834
2023-05-07;12666
2023-05-08;14449
2023-05-09;11477
2023-05-10;11702
2023-05-11;11062
2023-05-12;12013
2023-05-13;11203
2023-05-14;10174
2023-05-15;11787
2023-05-16;11122
2023-05-17;11986
2023-05-18;11605
2023-05-19;12259
2023-05-20;12448
2023-05-21;12571
2023-05-22;13121
2023-05-23;12661
2023-05-24;12199
2023-05-25;12448
2023-05-26;13609
2023-05-27;13386
2023-05-28;11647
2023-05-29;12516
2023-05-30;13343
2023-05-31;14335
2023-06-01;15482
2023-06-02;16513
2023-06-03;14762
2023-06-04;17639
2023-06-05;17008
2023-06-06;15981
2023-06-07;15970
2023-06-08;15232
2023-06-09;15990
2023-06-10;15232
2023-06-11;15990
2023-06-12;15736
2023-06-13;15103
2023-06-14;15860
2023-06-15;15255
2023-06-16;15550
2023-06-17;15435
2023-06-18;17026
2023-06-19;16082
2023-06-20;15990
2023-06-21;15860
2023-06-22;15255
2023-06-23;16782
2023-06-24;15535
2023-06-25;14957
2023-06-26;15100
2023-06-27;15581
2023-06-28;15860
2023-06-29;15232
2023-06-30;14789
2023-07-01;15535
2023-07-02;15862
2023-07-03;15435
2023-07-04;15734
2023-07-05;15860
2023-07-06;15634
2023-07-07;15990
2023-07-08;0
2023-07-09;15550
2023-07-10;15535
2023-07-11;15861
2023-07-12;15860
2023-07-13;15634
2023-07-14;16173
2023-07-15;14642
2023-07-16;15860
2023-07-17;14508
2023-07-18;16059
2023-07-19;15860
2023-07-20;15634
2023-07-21;16782
2023-07-22;15482
2023-07-23;14444
2023-07-24;14195
2023-07-25;16175
2023-07-26;15990
2023-07-27;16175
2023-07-28;13311
2023-07-29;15180
2023-07-30;13836
2023-07-31;12934
2023-08-01;15990
2023-08-02;13836
2023-08-03;13836
2023-08-04;15500
2023-08-05;0
2023-08-06;13836
2023-08-07;12934
2023-08-08;15990
2023-08-09;13836
2023-08-10;13062
2023-08-11;14718
2023-08-12;0
2023-08-13;13845
2023-08-14;14195
2023-08-15;15990
2023-08-16;15990
2023-08-17;13882
2023-08-18;13182
2023-08-19;13310
2023-08-20;16175
2023-08-21;12309
2023-08-22;15990
2023-08-23;15990
2023-08-24;16175
2023-08-25;14718
2023-08-26;0
2023-08-27;15990
2023-08-28;13062
2023-08-29;15990
2023-08-30;15990
2023-08-31;15990
2023-09-01;15990
2023-09-02;0
2023-09-03;16175
2023-09-04;0
2023-09-05;15988
2023-09-06;15990
2023-09-07;15990
2023-09-08;16175
2023-09-09;0
2023-09-10;15859
2023-09-11;11015
2023-09-12;15990
2023-09-13;15990
2023-09-14;16175
2023-09-15;16175
2023-09-16;0
2023-09-17;15990
2023-09-18;0
2023-09-19;15990
2023-09-20;16175
2023-09-21;16175
2023-09-22;16175
2023-09-23;0
2023-09-24;15990
2023-09-25;0
2023-09-26;16175
2023-09-27;15990
2023-09-28;16175
2023-09-29;12214
2023-09-30;0
2023-10-01;14335
2023-10-02;0
2023-10-03;14520
2023-10-04;0
2023-10-05;14335
2023-10-06;14335
2023-10-07;0
2023-10-08;14520
2023-10-09;9885
2023-10-10;14335
2023-10-11;0
2023-10-12;14520
2023-10-13;14520
2023-10-14;0
2023-10-15;14335
2023-10-16;0
2023-10-17;14520
2023-10-18;0
2023-10-19;14055
2023-10-20;14335
2023-10-21;0
2023-10-22;14237
2023-10-23;0
2023-10-24;14520
2023-10-25;0
2023-10-26;14335
2023-10-27;14502
2023-10-28;0
2023-10-29;14502
2023-10-30;0
2023-10-31;14520
