;0
2023-05-01;5981
2023-05-02;4999
2023-05-03;4602
2023-05-04;5036
2023-05-05;6099
2023-05-06;7549
2023-05-07;5499
2023-05-08;4881
2023-05-09;4749
2023-05-10;4749
2023-05-11;4750
2023-05-12;4749
2023-05-13;4749
2023-05-14;4941
2023-05-15;5499
2023-05-16;5481
2023-05-17;5843
2023-05-18;6412
2023-05-19;6099
2023-05-20;5201
2023-05-21;6800
2023-05-22;6209
2023-05-23;6434
2023-05-24;6434
2023-05-25;6099
2023-05-26;7609
2023-05-27;7199
2023-05-28;7534
2023-05-29;6289
2023-05-30;8386
2023-05-31;8941
2023-06-01;8386
2023-06-02;8612
2023-06-03;8862
2023-06-04;9499
2023-06-05;8342
2023-06-06;8386
2023-06-07;8386
2023-06-08;8499
2023-06-09;9499
2023-06-10;9499
2023-06-11;8862
2023-06-12;8341
2023-06-13;8362
2023-06-14;8325
2023-06-15;7186
2023-06-16;8386
2023-06-17;7534
2023-06-18;8499
2023-06-19;8345
2023-06-20;7199
2023-06-21;8325
2023-06-22;6434
2023-06-23;7534
2023-06-24;7534
2023-06-25;7534
2023-06-26;7534
2023-06-27;7199
2023-06-28;7199
2023-06-29;8578
2023-06-30;8612
2023-07-01;9638
2023-07-02;9499
2023-07-03;8348
2023-07-04;8179
2023-07-05;8261
2023-07-06;8386
2023-07-07;8335
2023-07-08;8499
2023-07-09;8499
2023-07-10;8341
2023-07-11;8362
2023-07-12;8386
2023-07-13;8179
2023-07-14;8335
2023-07-15;8386
2023-07-16;9499
2023-07-17;8341
2023-07-18;7984
2023-07-19;8499
2023-07-20;7984
2023-07-21;8335
2023-07-22;8499
2023-07-23;8386
2023-07-24;8342
2023-07-25;8362
2023-07-26;7881
2023-07-27;8327
2023-07-28;8341
2023-07-29;8953
2023-07-30;8386
2023-07-31;8340
2023-08-01;8361
2023-08-02;8339
2023-08-03;6296
2023-08-04;8029
2023-08-05;8499
2023-08-06;8499
2023-08-07;8341
2023-08-08;7140
2023-08-09;8325
2023-08-10;7140
2023-08-11;7049
2023-08-12;8499
2023-08-13;8386
2023-08-14;8341
2023-08-15;6295
2023-08-16;7781
2023-08-17;7140
2023-08-18;7841
2023-08-19;8325
2023-08-20;6641
2023-08-21;7781
2023-08-22;5309
2023-08-23;5687
2023-08-24;5309
2023-08-25;6511
2023-08-26;7037
2023-08-27;6641
2023-08-28;5689
2023-08-29;5309
2023-08-30;5688
2023-08-31;5309
2023-09-01;6641
2023-09-02;6641
2023-09-03;6641
2023-09-04;6581
2023-09-05;6350
2023-09-06;6453
2023-09-07;5309
2023-09-08;6641
2023-09-09;6641
2023-09-10;6641
2023-09-11;6581
2023-09-12;5310
2023-09-13;6581
2023-09-14;5205
2023-09-15;6511
2023-09-16;6641
2023-09-17;6641
2023-09-18;6581
2023-09-19;5309
2023-09-20;6581
2023-09-21;5310
2023-09-22;4941
2023-09-23;6641
2023-09-24;4441
2023-09-25;6581
2023-09-26;4317
2023-09-27;4317
2023-09-28;4317
2023-09-29;4317
2023-09-30;4317
2023-10-01;4354
2023-10-02;5066
2023-10-03;4881
2023-10-04;4881
2023-10-05;4317
2023-10-06;4441
2023-10-07;4317
2023-10-08;4317
2023-10-09;4881
2023-10-10;4881
2023-10-11;4786
2023-10-12;4317
2023-10-13;4441
2023-10-14;4317
2023-10-15;4233
2023-10-16;5474
2023-10-17;5205
2023-10-18;5505
2023-10-19;4331
2023-10-20;4706
2023-10-21;4312
2023-10-22;4317
2023-10-23;5505
2023-10-24;5303
2023-10-25;5580
2023-10-26;4317
2023-10-27;5065
2023-10-28;4317
2023-10-29;4500
2023-10-30;4501
2023-10-31;4501
