;0
2023-05-01;6420
2023-05-02;5673
2023-05-03;4999
2023-05-04;4750
2023-05-05;5499
2023-05-06;7199
2023-05-07;5170
2023-05-08;4399
2023-05-09;3610
2023-05-10;4139
2023-05-11;4139
2023-05-12;4140
2023-05-13;4999
2023-05-14;5020
2023-05-15;4749
2023-05-16;4749
2023-05-17;4399
2023-05-18;4750
2023-05-19;4399
2023-05-20;4999
2023-05-21;5020
2023-05-22;4399
2023-05-23;3799
2023-05-24;5370
2023-05-25;5100
2023-05-26;6091
2023-05-27;5100
2023-05-28;7594
2023-05-29;6099
2023-05-30;7199
2023-05-31;7540
2023-06-01;5100
2023-06-02;6474
2023-06-03;6474
2023-06-04;5100
2023-06-05;6474
2023-06-06;6476
2023-06-07;5100
2023-06-08;6479
2023-06-09;6481
2023-06-10;6474
2023-06-11;6474
2023-06-12;6099
2023-06-13;6474
2023-06-14;6474
2023-06-15;6474
2023-06-16;6474
2023-06-17;6474
2023-06-18;6099
2023-06-19;6099
2023-06-20;6099
2023-06-21;6474
2023-06-22;6474
2023-06-23;6099
2023-06-24;6099
2023-06-25;6099
2023-06-26;6099
2023-06-27;6474
2023-06-28;6474
2023-06-29;6474
2023-06-30;6099
2023-07-01;6474
2023-07-02;6099
2023-07-03;6474
2023-07-04;6099
2023-07-05;6485
2023-07-06;6099
2023-07-07;6099
2023-07-08;6099
2023-07-09;6099
2023-07-10;6475
2023-07-11;6099
2023-07-12;6099
2023-07-13;6464
2023-07-14;6099
2023-07-15;6099
2023-07-16;6099
2023-07-17;6099
2023-07-18;6099
2023-07-19;6476
2023-07-20;6474
2023-07-21;6221
2023-07-22;6221
2023-07-23;6099
2023-07-24;6477
2023-07-25;6474
2023-07-26;6474
2023-07-27;6099
2023-07-28;6474
2023-07-29;6099
2023-07-30;6221
2023-07-31;6480
2023-08-01;6099
2023-08-02;6099
2023-08-03;6099
2023-08-04;6476
2023-08-05;6099
2023-08-06;6474
2023-08-07;6474
2023-08-08;7986
2023-08-09;6474
2023-08-10;6099
2023-08-11;6476
2023-08-12;6099
2023-08-13;6474
2023-08-14;6476
2023-08-15;6099
2023-08-16;6474
2023-08-17;6099
2023-08-18;6099
2023-08-19;6474
2023-08-20;6476
2023-08-21;6099
2023-08-22;6099
2023-08-23;6488
2023-08-24;7452
2023-08-25;5531
2023-08-26;6099
2023-08-27;6099
2023-08-28;6326
2023-08-29;5266
2023-08-30;4620
2023-08-31;6474
2023-09-01;5531
2023-09-02;7520
2023-09-03;7354
2023-09-04;6333
2023-09-05;6294
2023-09-06;5530
2023-09-07;6821
2023-09-08;5266
2023-09-09;6407
2023-09-10;5530
2023-09-11;6457
2023-09-12;5272
2023-09-13;5529
2023-09-14;6512
2023-09-15;5266
2023-09-16;5881
2023-09-17;5530
2023-09-18;6457
2023-09-19;5268
2023-09-20;5355
2023-09-21;6957
2023-09-22;5268
2023-09-23;5881
2023-09-24;5355
2023-09-25;6466
2023-09-26;5348
2023-09-27;6467
2023-09-28;6500
2023-09-29;5266
2023-09-30;5881
2023-10-01;5460
2023-10-02;6489
2023-10-03;5268
2023-10-04;6092
2023-10-05;6489
2023-10-06;3737
2023-10-07;5670
2023-10-08;6500
2023-10-09;6103
2023-10-10;3737
2023-10-11;6489
2023-10-12;6099
2023-10-13;3737
2023-10-14;6500
2023-10-15;6500
2023-10-16;6489
2023-10-17;3737
2023-10-18;6481
2023-10-19;6099
2023-10-20;5260
2023-10-21;6481
2023-10-22;6495
2023-10-23;6489
2023-10-24;3737
2023-10-25;6099
2023-10-26;6489
2023-10-27;5268
2023-10-28;6613
2023-10-29;6500
2023-10-30;6500
2023-10-31;6492
