;0
2023-05-01;4999
2023-05-02;4485
2023-05-03;3299
2023-05-04;3299
2023-05-05;4140
2023-05-06;4749
2023-05-07;7527
2023-05-08;9140
2023-05-09;10698
2023-05-10;5170
2023-05-11;5499
2023-05-12;5771
2023-05-13;6882
2023-05-14;5170
2023-05-15;5170
2023-05-16;4750
2023-05-17;3799
2023-05-18;4139
2023-05-19;3799
2023-05-20;4999
2023-05-21;5020
2023-05-22;4399
2023-05-23;4139
2023-05-24;4749
2023-05-25;4749
2023-05-26;4750
2023-05-27;4999
2023-05-28;5020
2023-05-29;4399
2023-05-30;4399
2023-05-31;4399
2023-06-01;6486
2023-06-02;6099
2023-06-03;6458
2023-06-04;5020
2023-06-05;6099
2023-06-06;6099
2023-06-07;5020
2023-06-08;5020
2023-06-09;5020
2023-06-10;6099
2023-06-11;5020
2023-06-12;5020
2023-06-13;6099
2023-06-14;5020
2023-06-15;5020
2023-06-16;6099
2023-06-17;6099
2023-06-18;5020
2023-06-19;6420
2023-06-20;6099
2023-06-21;6099
2023-06-22;5020
2023-06-23;5020
2023-06-24;6476
2023-06-25;6099
2023-06-26;6486
2023-06-27;6295
2023-06-28;6486
2023-06-29;6486
2023-06-30;6099
2023-07-01;6099
2023-07-02;6099
2023-07-03;6099
2023-07-04;6099
2023-07-05;6455
2023-07-06;6486
2023-07-07;6476
2023-07-08;8333
2023-07-09;6455
2023-07-10;6099
2023-07-11;6099
2023-07-12;6099
2023-07-13;6099
2023-07-14;6486
2023-07-15;6099
2023-07-16;6481
2023-07-17;6486
2023-07-18;6099
2023-07-19;7144
2023-07-20;6099
2023-07-21;6455
2023-07-22;6486
2023-07-23;6486
2023-07-24;6420
2023-07-25;6099
2023-07-26;6486
2023-07-27;6486
2023-07-28;6420
2023-07-29;6099
2023-07-30;6099
2023-07-31;6486
2023-08-01;6445
2023-08-02;6484
2023-08-03;6477
2023-08-04;6420
2023-08-05;6473
2023-08-06;6486
2023-08-07;6420
2023-08-08;6099
2023-08-09;6099
2023-08-10;6099
2023-08-11;6420
2023-08-12;6099
2023-08-13;6099
2023-08-14;6455
2023-08-15;6099
2023-08-16;6455
2023-08-17;6455
2023-08-18;6420
2023-08-19;6458
2023-08-20;6099
2023-08-21;6420
2023-08-22;8437
2023-08-23;6099
2023-08-24;6458
2023-08-25;7393
2023-08-26;6099
2023-08-27;6455
2023-08-28;6099
2023-08-29;6099
2023-08-30;6099
2023-08-31;6486
2023-09-01;5490
2023-09-02;6723
2023-09-03;7354
2023-09-04;5490
2023-09-05;6376
2023-09-06;6441
2023-09-07;8213
2023-09-08;5490
2023-09-09;7039
2023-09-10;6723
2023-09-11;5490
2023-09-12;6342
2023-09-13;5529
2023-09-14;8213
2023-09-15;5490
2023-09-16;5881
2023-09-17;6513
2023-09-18;5490
2023-09-19;5165
2023-09-20;5560
2023-09-21;7672
2023-09-22;5267
2023-09-23;5881
2023-09-24;5766
2023-09-25;5383
2023-09-26;5163
2023-09-27;5422
2023-09-28;7825
2023-09-29;5270
2023-09-30;5670
2023-10-01;5460
2023-10-02;5490
2023-10-03;3737
2023-10-04;5980
2023-10-05;6099
2023-10-06;5163
2023-10-07;5670
2023-10-08;5353
2023-10-09;5493
2023-10-10;5267
2023-10-11;6099
2023-10-12;6099
2023-10-13;5268
2023-10-14;6484
2023-10-15;7058
2023-10-16;5383
2023-10-17;3737
2023-10-18;6481
2023-10-19;5980
2023-10-20;5857
2023-10-21;6499
2023-10-22;5671
2023-10-23;5483
2023-10-24;5268
2023-10-25;6099
2023-10-26;6489
2023-10-27;3737
2023-10-28;6500
2023-10-29;6495
2023-10-30;6495
2023-10-31;6500
